model,raw_mean,fwd_raw_mean,rev_raw_mean,acquiescence_gap,fwd_agree_rate,rev_agree_rate,overall_agree_rate
Claude-Opus-4.6,2.716666666666667,3.1012658227848102,1.975609756097561,1.1256560666872493,0.7088607594936709,0.2926829268292683,0.5666666666666667
Claude-Sonnet-4.6,2.5166666666666666,2.8227848101265822,1.9268292682926829,0.8959555418338994,0.620253164556962,0.24390243902439024,0.49166666666666664
DeepSeek-V3.2,3.475,3.8227848101265822,2.8048780487804876,1.0179067613460946,0.9493670886075949,0.5853658536585366,0.825
DeepSeek-V4-Flash,3.5043478260869567,4.0675675675675675,2.4878048780487805,1.579762689518787,0.7721518987341772,0.36585365853658536,0.6333333333333333
DeepSeek-V4-Pro,3.0762711864406778,3.4285714285714284,2.4146341463414633,1.013937282229965,0.7721518987341772,0.43902439024390244,0.6583333333333333
GLM-4.6V,2.816666666666667,3.151898734177215,2.1707317073170733,0.9811670268601418,0.7215189873417721,0.43902439024390244,0.625
GPT-5.5,2.689075630252101,2.8974358974358974,2.292682926829268,0.6047529706066292,0.6708860759493671,0.4634146341463415,0.6
GPT_5.2,2.956896551724138,3.2666666666666666,2.3902439024390243,0.8764227642276423,0.9113924050632911,0.6341463414634146,0.8166666666666667
Gemini-3-Flash-Preview,2.763157894736842,2.918918918918919,2.475,0.44391891891891877,0.6835443037974683,0.5609756097560976,0.6416666666666667
Gemini-3.1-Flash-Lite,3.1531531531531534,3.527027027027027,2.4054054054054053,1.121621621621622,0.9367088607594937,0.6341463414634146,0.8333333333333334
Gemini-3.1-Pro-Preview,2.652542372881356,2.987012987012987,2.024390243902439,0.9626227431105479,0.620253164556962,0.34146341463414637,0.525
Gemini_3-Pro-Preview,2.65,3.0126582278481013,1.951219512195122,1.0614387156529794,0.620253164556962,0.3170731707317073,0.5166666666666667
Kimi-K2.5,2.433333333333333,2.607594936708861,2.097560975609756,0.5100339610991047,0.620253164556962,0.4146341463414634,0.55
Kimi-K2.6,2.3,2.430379746835443,2.048780487804878,0.381599259030565,0.569620253164557,0.4146341463414634,0.5166666666666667
MiniMax-M2.7,2.925,3.189873417721519,2.4146341463414633,0.7752392713800558,0.759493670886076,0.43902439024390244,0.65
Qwen3-235B-A22B,3.230088495575221,3.8,2.1052631578947367,1.694736842105263,0.8227848101265823,0.36585365853658536,0.6666666666666666
Qwen3.5-122B-A10B,2.475,2.7848101265822787,1.8780487804878048,0.9067613460944739,0.5569620253164557,0.34146341463414637,0.48333333333333334
Qwen3.5-397B-A17B,2.575,2.8860759493670884,1.975609756097561,0.9104661932695275,0.6075949367088608,0.3902439024390244,0.5333333333333333
