scale,domain,n_models,fwd_rev_correlation,mean_fwd_scored,mean_rev_scored,mean_fwd_raw,mean_rev_raw,mean_gap
EPQR-A,Extraversion,18,-0.2049532655238829,0.24074074074074073,0.7407407407407407,0.24074074074074073,0.25925925925925924,0.574074074074074
EPQR-A,Lie,18,-0.4763305116224665,0.013888888888888888,0.75,0.013888888888888888,0.25,0.7638888888888888
IPIP-NEO-120,Agreeableness,18,0.23891522501655008,3.9365079365079367,4.277777777777779,3.9365079365079367,1.722222222222222,0.4439775910364146
IPIP-NEO-120,Conscientiousness,18,0.3335821824410305,4.0882352941176485,4.3809523809523805,4.0882352941176485,1.619047619047619,0.47665732959850593
IPIP-NEO-120,Extraversion,18,-0.32146150047175526,2.941798941798942,3.0555555555555554,2.941798941798942,2.9444444444444446,0.6216931216931216
IPIP-NEO-120,Neuroticism,18,0.4570232892488425,1.9152046783625731,2.288888888888889,1.9152046783625731,3.711111111111111,0.6391812865497076
IPIP-NEO-120,Openness,18,-0.051018221908169036,3.585185185185185,3.4506172839506175,3.585185185185185,2.5493827160493825,0.554320987654321
SD3,Narcissism,18,-0.8414164255539694,2.314814814814815,3.703703703703704,2.314814814814815,2.296296296296296,1.4999999999999996
SD3,Psychopathy,18,0.6465100783241685,1.6640211640211637,1.6111111111111112,1.6640211640211637,4.388888888888889,0.41269841269841273
ZKPQ-50-CC,Activity,18,-0.6095877584033471,0.2152777777777778,0.3611111111111111,0.2152777777777778,0.6388888888888888,0.4375
ZKPQ-50-CC,Aggression-Hostility,18,-0.012454111356562075,0.1349206349206349,0.5925925925925924,0.1349206349206349,0.40740740740740733,0.48941798941798936
ZKPQ-50-CC,Neuroticism-Anxiety,18,0.19824814143238606,0.2469135802469136,0.16666666666666666,0.2469135802469136,0.8333333333333334,0.2777777777777778
ZKPQ-50-CC,Sociability,18,-0.7241048891447013,0.1527777777777778,0.4722222222222222,0.1527777777777778,0.5277777777777778,0.6249999999999999
