model,mean_r,std_r,min_r,mean_mad
Claude-Opus-4.6,0.5057914720553889,0.14328787135797372,0.25457886279850117,1.0203125
Qwen3.5-397B-A17B,0.5054782816444362,0.10763703615253321,0.32795631672414755,1.125
Claude-Sonnet-4.6,0.4860571219644481,0.10911070551120298,0.22542392719147775,0.9819444444444444
Qwen3.5-122B-A10B,0.47238695121909036,0.09965048770296858,0.2971800968203651,1.2046875
MiniMax-M2.7,0.47103752506070007,0.12195424904352575,0.2533096405498001,1.0577777777777777
Gemini_3-Pro-Preview,0.39441638421929076,0.1875017974328404,0.07663377350256631,1.280357142857143
DeepSeek-V3.2,0.38986359053282366,,0.38986359053282366,1.1666666666666667
Kimi-K2.5,0.3731641277564598,0.12628988822577208,0.1186926882531112,1.2145833333333333
GLM-4.6V,0.3711450377991629,0.11039477542279134,0.16780081924055482,1.2453125
Kimi-K2.6,0.36543280036581305,0.13098831349330275,0.08913967195427891,1.2421875
DeepSeek-V4-Flash,,,,
DeepSeek-V4-Pro,,,,
GPT-5.5,,,,
GPT_5.2,,,,
Gemini-3-Flash-Preview,,,,
Gemini-3.1-Flash-Lite,,,,
Gemini-3.1-Pro-Preview,,,,
Qwen3-235B-A22B,,,,
