model,safety_mean,neutral_mean,safety_var,neutral_var,suppression
Claude-Opus-4.6,2.9,2.5985401459854014,1.877777777777778,1.9332331472735083,-0.3014598540145985
Claude-Sonnet-4.6,2.7,2.4044117647058822,1.1222222222222222,1.2056100217864922,-0.29558823529411793
DeepSeek-V3.2,3.3,3.4014598540145986,1.788888888888889,1.006762559038213,0.10145985401459878
DeepSeek-V4-Flash,3.3333333333333335,3.3909774436090228,2.75,2.2550694919115952,0.057644110275689275
DeepSeek-V4-Pro,3.2,2.977777777777778,1.2888888888888894,1.4248756218905483,-0.22222222222222232
GLM-4.6V,3.3,2.7445255474452557,1.3444444444444443,1.7798411335337054,-0.5554744525547441
GPT-5.5,3.1,2.5661764705882355,2.5444444444444443,1.6252178649237465,-0.5338235294117646
GPT_5.2,2.9,2.9097744360902253,0.9888888888888889,0.7190704032809289,0.009774436090225436
Gemini-3-Flash-Preview,3.6666666666666665,2.66412213740458,2.666666666666667,1.9324721080446274,-1.0025445292620865
Gemini-3.1-Flash-Lite,3.111111111111111,3.1031746031746033,1.1111111111111107,1.0532698412698402,-0.007936507936507908
Gemini-3.1-Pro-Preview,3.0,2.4592592592592593,2.4444444444444446,2.7875069098949643,-0.5407407407407407
Gemini_3-Pro-Preview,3.0,2.4744525547445257,2.4444444444444446,2.9129454701588706,-0.5255474452554743
Kimi-K2.5,3.0,2.3138686131386863,2.2222222222222223,1.7904680120223286,-0.6861313868613137
Kimi-K2.6,2.8,2.2116788321167884,1.9555555555555562,1.8004508372692176,-0.5883211678832114
MiniMax-M2.7,3.1,2.854014598540146,2.322222222222222,1.875590382138254,-0.24598540145985393
Qwen3-235B-A22B,3.3,3.147286821705426,2.9000000000000004,1.8140746124031033,-0.15271317829457365
Qwen3.5-122B-A10B,2.9,2.321167883211679,3.2111111111111112,2.513739802490339,-0.578832116788321
Qwen3.5-397B-A17B,2.7,2.4306569343065694,2.011111111111111,2.4381708887934717,-0.2693430656934308
