model,sdr_composite,acquiescence,extreme_response,midpoint_response,lie_scale
Claude-Opus-4.6,0.16994305555555556,-0.19047619047619047,0.3877551020408163,0.10884353741496598,0.16666666666666666
Claude-Sonnet-4.6,0.12152777777777778,-0.28767123287671237,0.2653061224489796,0.2789115646258503,0.0
DeepSeek-V3.2,0.03009027777777776,0.19727891156462585,0.1564625850340136,0.272108843537415,0.16666666666666666
DeepSeek-V4-Flash,0.10609305555555554,0.20408163265306123,0.5102040816326531,0.12244897959183673,0.16666666666666666
DeepSeek-V4-Pro,0.07908611111111107,-0.006802721088435382,0.19727891156462585,0.20408163265306123,0.16666666666666666
GLM-4.6V,0.08063333333333332,-0.10884353741496589,0.35374149659863946,0.2653061224489796,0.3333333333333333
GPT-5.5,0.11439444444444441,-0.19727891156462585,0.38095238095238093,0.3197278911564626,0.3333333333333333
GPT_5.2,0.026426388888888878,-0.03741496598639449,0.12244897959183673,0.6394557823129252,0.3333333333333333
Gemini-3-Flash-Preview,0.08950694444444449,-0.13013698630136994,0.48299319727891155,0.4421768707482993,0.3333333333333333
Gemini-3.1-Flash-Lite,0.020684722222222195,0.05208333333333326,0.23809523809523808,0.6938775510204082,0.3333333333333333
Gemini-3.1-Pro-Preview,0.19367500000000007,-0.2482993197278911,0.7346938775510204,0.19047619047619047,0.3333333333333333
Gemini_3-Pro-Preview,0.19811249999999994,-0.24489795918367352,0.7619047619047619,0.1836734693877551,0.3333333333333333
Kimi-K2.5,0.13040555555555555,-0.3197278911564625,0.5034013605442177,0.2789115646258503,0.3333333333333333
Kimi-K2.6,0.11245972222222221,-0.37414965986394555,0.5510204081632653,0.2857142857142857,0.3333333333333333
MiniMax-M2.7,0.10011527777777778,-0.06462585034013602,0.4013605442176871,0.30612244897959184,0.3333333333333333
Qwen3-235B-A22B,0.12056249999999998,0.07823129251700678,0.4217687074829932,0.3401360544217687,0.0
Qwen3.5-122B-A10B,0.16165555555555555,-0.3197278911564625,0.7142857142857143,0.19047619047619047,0.3333333333333333
Qwen3.5-397B-A17B,0.16030416666666666,-0.2755102040816326,0.6462585034013606,0.25170068027210885,0.3333333333333333
